camp_id,Governorate,Community
camp_0,Aleppo,Jeb Elkajli
camp_1,Aleppo,Jeifiyet Elmashi
camp_2,Aleppo,Jeb Eltawil
camp_3,Aleppo,Abu Qalqal
camp_4,Aleppo,Ain Al Arab
camp_5,Aleppo,Shjif Dahabiyeh
camp_6,Aleppo,Noaimeh
camp_7,Aleppo,Big Ghorra
camp_8,Aleppo,Big Sandaliyeh
camp_9,Aleppo,Hizeh
camp_10,Aleppo,Kherbet Elashra
camp_11,Aleppo,Kherbet Elrus
camp_12,Aleppo,Khofiyet Abu Qalqal
camp_13,Aleppo,Tal Hajib
camp_14,Aleppo,Jalabiyeh
camp_15,Aleppo,Firazdaq - Arsalan Tash
camp_16,Aleppo,Minas
camp_17,Aleppo,Ghassaniyeh - Qorret Halanj
camp_18,Aleppo,Girmoz
camp_19,Aleppo,Qerat Mazraa
camp_20,Aleppo,Sharan
camp_21,Aleppo,Jil Jilak
camp_22,Aleppo,Jumharran
camp_23,Aleppo,Nabaa - Korbinar
camp_24,Aleppo,Upper Mawa - Upper Khanik
camp_25,Aleppo,Khan Mamid - Khan Mohammed
camp_26,Aleppo,Hurik
camp_27,Aleppo,Kharab Elasheq - Kharab Ishq
camp_28,Aleppo,Khodan
camp_29,Aleppo,Ibrahimiya - Upper Koktaba
camp_30,Aleppo,Lower Tal Elhajar - Tashluk
camp_31,Aleppo,Tahtik Tahtani
camp_32,Aleppo,Karb Karbalak
camp_33,Aleppo,Qantarra - Qantaret Kikan
camp_34,Aleppo,Bir Omar
camp_35,Aleppo,Shoruq - Holaqi
camp_36,Aleppo,Upper Tal Hajar
camp_37,Aleppo,Tutanik
camp_38,Aleppo,Kayfun
camp_39,Aleppo,Mattin
camp_40,Ar-Raqqa,Shwaihan
camp_41,Ar-Raqqa,Maghar
camp_42,Aleppo,Munif
camp_43,Aleppo,Safriyeh
camp_44,Aleppo,Eastern Shallal - Eastern Jokhar
camp_45,Aleppo,Sheikh Ghali
camp_46,Aleppo,Mil
camp_47,Aleppo,Darfatli
camp_48,Aleppo,Bir Geni
camp_49,Aleppo,Raqas al Fawqani
camp_50,Aleppo,Lower Tarmak - Lower Tarmak Sheikhan
camp_51,Aleppo,Um Jern Manbaj
camp_52,Aleppo,Southern Tal Arish
camp_53,Aleppo,Nmuqbilet Hassan Agha
camp_54,Aleppo,Jeb Elbashama
camp_55,Aleppo,Himar Labda
camp_56,Aleppo,Kherbet Elsawda Manbaj
camp_57,Aleppo,Jeb Hamza
camp_58,Aleppo,Jdidet Faras
camp_59,Aleppo,Halula
camp_60,Aleppo,Upper Fajer
camp_61,Aleppo,Zinar Qel
camp_62,Aleppo,Saq
camp_63,Aleppo,Altun Weran
camp_64,Aleppo,Barakeh - Dweirek
camp_65,Aleppo,Hamdun
camp_66,Al-Hasakeh,Al Mushirfah
camp_67,Al-Hasakeh,Majlub
